Jenis,Deskripsi,Tips
Bias ekspektasi,Disebabkan oleh adanya pengetahuan atau ekspektasi panelis mengenai sampel,"Tidak melibatkan panelis yang memahami sampel, memberikan informasi sampel seminimum mungkin, menggunakan kode acak tiga digit untuk identifikasi sampel"
Efek sugesti,Disebabkan oleh komentar panelis lain ketika mencicipi sampel,"Penggunaan bilik ketika evaluasi sensori, mengarahkan panelis untuk tidak berdiskusi dengan panelis lain"
Bias distraksi,"Disebabkan oleh kondisi pengujian yang tidak kondusif (seperti bunyi lagu, radio, percakapan orang) dan kepentingan personal (terburu-buru)","Memastikan kondisi pengujian tenang, melarang penggunaan HP selama pengujian"
Bias stimulus dan logika,Disebabkan oleh adanya stimulus yang berasosiasi dengan karakter-karakter lain dari sampel (misal : sampel dengan warna yang lebih pucat memiliki kualitas yang lebih rendah),Memastikan sampel yang disajikan memiliki kualitas yang konsisten
Efek halo dan bias kedekatan,Terjadi ketika satu atribut mempengaruhi penilaian atribut lain (misal : sampel yang lebih manis dinilai lebih lembut atau sticky),"Apabila memungkinkan, atribut yang dievaluasi seminimum mungkin dalam sekali waktu; jika tidak memungkinkan, mengacak urutan atribut sampel"
Attribute dumping,"Terjadi ketika panelis merasakan adanya perbedaan pada atribut tertentu, sedangkan atribut tersebut tidak dievaluasi. Perubahan atribut tersebut kemudian diasosiasikan menjadi atribut lain oleh panelis",Memaksimalkan jenis atribut yang dievaluasi
Kebiasaan,Terjadi ketika panelis membentuk kebiasaan pemberian skor yang serupa,Meningkatkan variasi sampel
Efek urutan,Kecenderungan panelis untuk memberi skor lebih tinggi pada sampel yang disajikan pertama.,"Mengacak atau menyeimbangkan urutan penyajian sampel; pada uji afektif, sampel dengan kualitas yang dinilai lebih rendah, diletakkan pada urutan pertama"
Efek kontras dan konvergen,"Jika dua sampel yang disajikan menunjukkan perbedaan yang besar, panelis cenderung melebih-lebihkan penilaian. Sedangkan jika sampel serupa disajikan dalam satu set sampel, panelis cenderung menilai kecil perbedaan sampel tersebut.",Mengacak dan menyeimbangkan urutan penyajian sampel; sampel yang bersifat outlier tidak diikutsertakan dalam evaluasi
Bias kecenderungan sentral,"Kecenderungan panelis untuk menghindari penilaian yang terlalu ekstrim, sehingga skor yang diberi cenderung skor rata-rata",Melatih penggunaan skala kepada panelis dan menggunakan skala dengan range yang cukup lebar sehingga sampel dapat lebih dibandingkan
Bias motivasi,Kurangnya motivasi atau ketertarikan panelis dalam menjalankan pengujian,Memberi feedback (reward) kepada panelis yang terlibat
